src,dst,count
apphostregistrationverifier.exe,apphostregistrationverifier.exe,32
appidcertstorecheck.exe,appidcertstorecheck.exe,31
appidcertstorecheck.exe,conhost.exe,21
applicationframehost.exe,applicationframehost.exe,8
atbroker.exe,atbroker.exe,35
atbroker.exe,sethc.exe,4
audiodg.exe,audiodg.exe,9
backgroundtaskhost.exe,backgroundtaskhost.exe,12046
backgroundtransferhost.exe,backgroundtransferhost.exe,475
bcdedit,bcdedit,2
browser_broker.exe,browser_broker.exe,29
cleanmgr.exe,cleanmgr.exe,29
cleanmgr.exe,dismhost.exe,21
cliprenew.exe,cliprenew.exe,1
cmd.exe,bcdedit,1
cmd.exe,cmd.exe,15609
cmd.exe,conhost.exe,11958
cmd.exe,hostname,866
cmd.exe,ipconfig,817
cmd.exe,netstat,2767
cmd.exe,ping,5350
cmd.exe,powercfg,158
cmd.exe,route.exe,310
cmd.exe,sc,5
cmd.exe,scp,1866
cmd.exe,shutdown,1
cmd.exe,ssh,1860
cmd.exe,systeminfo,2722
cmd.exe,tasklist,1012
cmd.exe,tester.exe,1
cmd.exe,whoami,702
cmd.exe,winlogon.exe,1
compattelrunner.exe,compattelrunner.exe,400
compattelrunner.exe,conhost.exe,80
conhost.exe,conhost.exe,33090
conhost.exe,csrss.exe,1
conhost.exe,wininit.exe,1
consent.exe,consent.exe,33
crashreporter.exe,crashreporter.exe,7
csrss.exe,csrss.exe,13
ctfhost2.exe,conhost.exe,1
ctfhost2.exe,ctfhost2.exe,1
ctfmon.exe,ctfmon.exe,51
defrag.exe,conhost.exe,26
defrag.exe,defrag.exe,34
devicecensus.exe,conhost.exe,78
devicecensus.exe,devicecensus.exe,148
disksnapshot.exe,conhost.exe,20
disksnapshot.exe,disksnapshot.exe,29
dismhost.exe,dismhost.exe,58
dllhost.exe,backgroundtaskhost.exe,6
dllhost.exe,dllhost.exe,34540
dllhost.exe,hxtsr.exe,2
dllhost.exe,mobsync.exe,2
dllhost.exe,mpcmdrun.exe,2
dllhost.exe,runtimebroker.exe,2
dllhost.exe,skypebackgroundhost.exe,2
dllhost.exe,smartscreen.exe,2
dmclient.exe,conhost.exe,20
dmclient.exe,dmclient.exe,29
driverquery,driverquery,1
dstokenclean.exe,conhost.exe,20
dstokenclean.exe,dstokenclean.exe,29
dwm.exe,dwm.exe,15
eventvwr.exe,eventvwr.exe,2
eventvwr.exe,mmc.exe,1
excel.exe,excel.exe,240
explorer.exe,cmd.exe,336
explorer.exe,excel.exe,354
explorer.exe,explorer.exe,32
explorer.exe,firefox.exe,8
explorer.exe,infdefaultinstall.exe,12
explorer.exe,mmc.exe,28
explorer.exe,msascuil.exe,28
explorer.exe,notepad.exe,356
explorer.exe,officeclicktorun.exe,52
explorer.exe,onedrive.exe,26
explorer.exe,runonce.exe,26
explorer.exe,taskmgr.exe,4
explorer.exe,thunderbird.exe,666
explorer.exe,tvnserver.exe,26
explorer.exe,winword.exe,1256
explorer.exe,wordpad.exe,790
firefox.exe,acuity_service.exe,1
firefox.exe,firefox.exe,2299
firefox.exe,helper.exe,6
firefox.exe,minidump-analyzer.exe,1
firefox.exe,nssm.exe,1
firefox.exe,officeclicktorun.exe,1
firefox.exe,searchindexer.exe,1
firefox.exe,securityhealthservice.exe,1
firefox.exe,spoolsv.exe,1
firefox.exe,sppsvc.exe,1
firefox.exe,ssh-agent.exe,1
firefox.exe,sshd.exe,1
firefox.exe,svchost.exe,74
firefox.exe,tvnserver.exe,1
firefox.exe,werfault.exe,17
firefox.exe,wmi_exporter.exe,1
fontdrvhost.exe,fontdrvhost.exe,16
getmac,getmac,1
grpconv.exe,grpconv.exe,3
helper.exe,helper.exe,6
hostname,hostname,1015
hostname,hostname.exe,1
hostname.exe,hostname.exe,1
hxtsr.exe,hxtsr.exe,34
infdefaultinstall.exe,infdefaultinstall.exe,6
infdefaultinstall.exe,runonce.exe,3
ipconfig,ipconfig,980
jusched.exe,jusched.exe,14
loadhooks,loadhooks,5
lockapp.exe,lockapp.exe,1
logonui.exe,logonui.exe,42
lpremove.exe,conhost.exe,6
lpremove.exe,lpremove.exe,9
mdmagent.exe,mdmagent.exe,13
microsoft.photos.exe,microsoft.photos.exe,186
microsoftedge.exe,microsoftedge.exe,27
microsoftedgecp.exe,microsoftedgecp.exe,240
microsoftpdfreader.exe,microsoftpdfreader.exe,1
minidump-analyzer.exe,conhost.exe,1
minidump-analyzer.exe,minidump-analyzer.exe,8
mmc.exe,mmc.exe,25
mobsync.exe,mobsync.exe,14
mpcmdrun.exe,conhost.exe,410
mpcmdrun.exe,mpcmdrun.exe,1064
msascuil.exe,msascuil.exe,16
mscorsvw.exe,mscorsvw.exe,185
msiexec.exe,msiexec.exe,1
msmpeng.exe,mpcmdrun.exe,73
msmpeng.exe,svchost.exe,7
msoia.exe,msoia.exe,165
musnotification.exe,musnotification.exe,103
nbtstat,nbtstat,1
net,cmd.exe,336
net,conhost.exe,79
net,csrss.exe,1
net,mpcmdrun.exe,1
net,mscorsvw.exe,267
net,net,11
net,net1,11
net,netstat,3621
net,netstat.exe,1
net,ngen.exe,9142
net,ngentask.exe,160
net,winlogon.exe,1
net1,net1,11
netstat,cmd.exe,336
netstat,netstat,3621
netstat,netstat.exe,1
netstat.exe,netstat.exe,1
ngen.exe,csrss.exe,1
ngen.exe,mpcmdrun.exe,1
ngen.exe,mscorsvw.exe,82
ngen.exe,ngen.exe,5429
ngen.exe,winlogon.exe,1
ngentask.exe,conhost.exe,158
ngentask.exe,ngen.exe,7426
ngentask.exe,ngentask.exe,320
notepad.exe,notepad.exe,230
nslookup,nslookup,2
nssm.exe,python.exe,10
officec2rclient.exe,officec2rclient.exe,568
officeclicktorun.exe,officeclicktorun.exe,46
officeclicktorun.exe,schtasks.exe,144
onedrive.exe,onedrive.exe,12
onedrivestandaloneupdater.exe,onedrivestandaloneupdater.exe,34
onenoteim.exe,onenoteim.exe,1
pass_mgr.exe,pass_mgr.exe,10
ping,ping,6620
ping,ping.exe,1
ping.exe,ping.exe,1
powercfg,powercfg,181
powershell,powershell,3
powershell,powershell_ise.exe,2
powershell,"tn windowsupdate -tr ""powershell.exe",1
powershell.exe,"tn windowsupdate -tr ""powershell.exe",2
powershell_ise.,powershell_ise.exe,2
provtool.exe,provtool.exe,9
python.exe,conhost.exe,10
python.exe,python.exe,1005
python.exe,tzutil,20
quitinfo,quitinfo:00000000000001b4;0000000000000330;,2
quitinfo,quitinfo:00000000000001c4;00000000000001b4;,1
quitinfo,quitinfo:00000000000002c8;00000000000001b4;,4
quitinfo,quitinfo:00000000000002dc;00000000000001c0;,1
quitinfo,quitinfo:000000000000032c;0000000000000334;,1
quitinfo,quitinfo:0000000000000338;0000000000000324;,1
quitinfo,quitinfo:0000000000000368;000000000000036c;,1
rdpclip,rdpclip,10
rdpinput.exe,rdpinput.exe,9
route,route,1
route,route.exe,381
route.exe,route.exe,762
rundll32.exe,firefox.exe,2
rundll32.exe,rundll32.exe,33
rundll32.exe,winsat.exe,4
runonce.exe,grpconv.exe,2
runonce.exe,jusched.exe,14
runonce.exe,runonce.exe,17
runtimebroker.exe,eventvwr.exe,2
runtimebroker.exe,firefox.exe,730
runtimebroker.exe,mmc.exe,4
runtimebroker.exe,runtimebroker.exe,541
runtimebroker.exe,winword.exe,4
sc.exe,conhost.exe,59
sc.exe,sc.exe,88
schtasks,conhost.exe,67
schtasks,schtasks,1
schtasks,schtasks.exe,90
schtasks,"tn windowsupdate -tr ""powershell.exe",1
schtasks.exe,conhost.exe,67
schtasks.exe,schtasks.exe,90
scp,scp,4465
scp,ssh.exe,2180
sdiagnhost.exe,conhost.exe,4
sdiagnhost.exe,sdiagnhost.exe,5
searchfilterhost.exe,searchfilterhost.exe,3860
searchindexer.exe,searchfilterhost.exe,3217
searchindexer.exe,searchprotocolhost.exe,2468
searchprotocolhost.exe,searchprotocolhost.exe,3184
searchui.exe,searchui.exe,20
securityhealthservice.exe,securityhealthservice.exe,5
services.exe,acuity_service.exe,7
services.exe,msmpeng.exe,7
services.exe,nissrv.exe,7
services.exe,nssm.exe,7
services.exe,officeclicktorun.exe,7
services.exe,searchindexer.exe,6
services.exe,securityhealthservice.exe,7
services.exe,spoolsv.exe,7
services.exe,sppsvc.exe,218
services.exe,ssh-agent.exe,9
services.exe,sshd.exe,10
services.exe,svchost.exe,10820
services.exe,trustedinstaller.exe,2163
services.exe,tvnserver.exe,10
services.exe,vssvc.exe,26
services.exe,wmi_exporter.exe,7
services.exe,wmiapsrv.exe,4419
sethc.exe,sethc.exe,16
shellexperiencehost.exe,shellexperiencehost.exe,17
shellexperiencehost.exe,werfault.exe,1
shutdown,shutdown,1
sihclient.exe,conhost.exe,52
sihclient.exe,sihclient.exe,72
sihost.exe,sihost.exe,21
skypebackgroundhost.exe,skypebackgroundhost.exe,12
slui.exe,slui.exe,82
smartscreen.exe,smartscreen.exe,883
smss.exe,csrss.exe,10
smss.exe,smss.exe,28
smss.exe,winlogon.exe,9
speechmodeldownload.exe,speechmodeldownload.exe,27
speechruntime.exe,speechruntime.exe,9
splwow64.exe,splwow64.exe,6
sppextcomobj.exe,slui.exe,80
sppextcomobj.exe,sppextcomobj.exe,62
sppsvc.exe,sppsvc.exe,245
srtasks.exe,conhost.exe,6
srtasks.exe,srtasks.exe,9
ssh-agent.exe,mpcmdrun.exe,1
ssh-agent.exe,ssh-agent.exe,90416
ssh-shellhost.exe,cmd.exe,14242
ssh-shellhost.exe,ssh-shellhost.exe,15028
ssh.exe,ssh.exe,2634
sshd.exe,conhost.exe,16906
sshd.exe,explorer.exe,1
sshd.exe,mpcmdrun.exe,2
sshd.exe,scp,1862
sshd.exe,ssh-shellhost.exe,15044
sshd.exe,sshd.exe,27339
svchost.exe,apphostregistrationverifier.exe,10
svchost.exe,appidcertstorecheck.exe,12
svchost.exe,applicationframehost.exe,7
svchost.exe,backgroundtaskhost.exe,3826
svchost.exe,backgroundtransferhost.exe,480
svchost.exe,browser_broker.exe,27
svchost.exe,cleanmgr.exe,10
svchost.exe,cliprenew.exe,1
svchost.exe,compattelrunner.exe,20
svchost.exe,consent.exe,14
svchost.exe,csrss.exe,3
svchost.exe,ctfhost2.exe,1
svchost.exe,ctfmon.exe,34
svchost.exe,dashost.exe,10
svchost.exe,defrag.exe,8
svchost.exe,devicecensus.exe,10
svchost.exe,disksnapshot.exe,10
svchost.exe,dllhost.exe,14289
svchost.exe,dmclient.exe,10
svchost.exe,dstokenclean.exe,10
svchost.exe,hxtsr.exe,11
svchost.exe,lpremove.exe,3
svchost.exe,mdmagent.exe,7
svchost.exe,microsoft.photos.exe,103
svchost.exe,microsoftedge.exe,25
svchost.exe,microsoftedgecp.exe,232
svchost.exe,microsoftpdfreader.exe,1
svchost.exe,mobsync.exe,7
svchost.exe,mpcmdrun.exe,39
svchost.exe,msoia.exe,57
svchost.exe,musnotification.exe,42
svchost.exe,officec2rclient.exe,64
svchost.exe,onedrivestandaloneupdater.exe,11
svchost.exe,provtool.exe,4
svchost.exe,python.exe,1
svchost.exe,rundll32.exe,15
svchost.exe,runtimebroker.exe,307
svchost.exe,sc.exe,31
svchost.exe,sdiagnhost.exe,3
svchost.exe,searchui.exe,13
svchost.exe,shellexperiencehost.exe,12
svchost.exe,sihclient.exe,12
svchost.exe,sihost.exe,14
svchost.exe,skypebackgroundhost.exe,7
svchost.exe,smartscreen.exe,661
svchost.exe,speechmodeldownload.exe,10
svchost.exe,speechruntime.exe,5
svchost.exe,sppextcomobj.exe,27
svchost.exe,srtasks.exe,2
svchost.exe,svchost.exe,13468
svchost.exe,systemsettings.exe,5
svchost.exe,taskhostw.exe,301
svchost.exe,tiworker.exe,1933
svchost.exe,tzsync.exe,2
svchost.exe,usoclient.exe,12
svchost.exe,waasmedic.exe,10
svchost.exe,werfault.exe,29
svchost.exe,wermgr.exe,987
svchost.exe,windows.warp.jitservice.exe,29
svchost.exe,wininit.exe,3
svchost.exe,winstore.app.exe,5
svchost.exe,wmiadap.exe,4
svchost.exe,wmiprvse.exe,32
svchost.exe,wsqmcons.exe,41
svchost.exe,wuapihost.exe,101
system,acuity_service.exe,7
system,apphostregistrationverifier.exe,42
system,appidcertstorecheck.exe,43
system,applicationframehost.exe,15
system,audiodg.exe,9
system,backgroundtaskhost.exe,9035
system,backgroundtransferhost.exe,120
system,bcdedit,1
system,browser_broker.exe,40
system,c,20
system,cleanmgr.exe,39
system,cliprenew.exe,2
system,cmd.exe,15607
system,compattelrunner.exe,220
system,conhost.exe,45330
system,consent.exe,14
system,csrss.exe,27
system,ctfhost2.exe,1
system,ctfmon.exe,34
system,dashost.exe,10
system,defrag.exe,25
system,devicecensus.exe,84
system,disksnapshot.exe,39
system,dismhost.exe,21
system,dllhost.exe,25229
system,dmclient.exe,39
system,dstokenclean.exe,39
system,dwm.exe,7
system,eventvwr.exe,4
system,explorer.exe,13
system,firefox.exe,460
system,fontdrvhost.exe,7
system,grpconv.exe,5
system,hostname,866
system,hostname.exe,1
system,hxtsr.exe,12
system,infdefaultinstall.exe,6
system,ipconfig,817
system,lockapp.exe,1
system,logonui.exe,8
system,lpremove.exe,12
system,mdmagent.exe,20
system,microsoft.photos.exe,61
system,microsoftedge.exe,38
system,microsoftedgecp.exe,309
system,microsoftpdfreader.exe,1
system,mmc.exe,30
system,mobsync.exe,22
system,mpcmdrun.exe,40
system,msiexec.exe,1
system,msmpeng.exe,7
system,msoia.exe,57
system,musnotification.exe,145
system,net1,11
system,netstat,2767
system,netstat.exe,1
system,nissrv.exe,7
system,notepad.exe,230
system,nssm.exe,7
system,officec2rclient.exe,64
system,officeclicktorun.exe,7
system,onedrivestandaloneupdater.exe,11
system,ping,5350
system,ping.exe,1
system,powercfg,158
system,powershell_ise.exe,2
system,provtool.exe,13
system,python.exe,1
system,rdpinput.exe,9
system,route.exe,691
system,rundll32.exe,48
system,runonce.exe,6
system,runtimebroker.exe,746
system,sc,5
system,sc.exe,119
system,scp,1866
system,sdiagnhost.exe,7
system,searchfilterhost.exe,5900
system,searchindexer.exe,6
system,searchprotocolhost.exe,4743
system,searchui.exe,30
system,securityhealthservice.exe,12
system,sethc.exe,16
system,shellexperiencehost.exe,27
system,shutdown,1
system,sihclient.exe,48
system,sihost.exe,14
system,skypebackgroundhost.exe,8
system,slui.exe,81
system,smartscreen.exe,1253
system,smss.exe,28
system,speechmodeldownload.exe,37
system,speechruntime.exe,14
system,spoolsv.exe,7
system,sppextcomobj.exe,51
system,sppsvc.exe,382
system,srtasks.exe,11
system,ssh,1860
system,ssh-agent.exe,9
system,sshd.exe,10
system,svchost.exe,20495
system,systeminfo,6364
system,systempropertiesadvanced.exe,8
system,systemsettings.exe,14
system,taskhostw.exe,301
system,tasklist,1012
system,tasklist.exe,1
system,taskmgr.exe,2
system,tester.exe,1
system,tiworker.exe,1061
system,trustedinstaller.exe,1291
system,tstheme.exe,20
system,tvnserver.exe,10
system,tzsync.exe,7
system,userinit.exe,16
system,usoclient.exe,45
system,vssvc.exe,53
system,waasmedic.exe,38
system,werfault.exe,88
system,wermgr.exe,3762
system,whoami,702
system,whoami.exe,2
system,windows.warp.jitservice.exe,56
system,wininit.exe,4
system,winlogon.exe,11
system,winsat.exe,8
system,winstore.app.exe,5
system,winword.exe,2
system,wmi_exporter.exe,7
system,wmiadap.exe,4
system,wmiapsrv.exe,7167
system,wmiprvse.exe,303
system,wsqmcons.exe,158
system,wuapihost.exe,196
systeminfo,systeminfo,3642
systempropertiesadvanced.exe,systempropertiesadvanced.exe,8
systemsettings.exe,systemsettings.exe,9
taskhostw.exe,ngentask.exe,42
taskhostw.exe,taskhostw.exe,839
taskkill,taskkill,2
tasklist,tasklist,1141
tasklist,tasklist.exe,1
tasklist.exe,tasklist.exe,1
taskmgr.exe,taskmgr.exe,2
tester.exe,tester.exe,1
thunderbird.exe,thunderbird.exe,397
tiworker.exe,tiworker.exe,2338
trustedinstaller.exe,trustedinstaller.exe,2343
tstheme.exe,tstheme.exe,20
tvnserver.exe,hookldr.exe,3
tvnserver.exe,mpcmdrun.exe,2
tvnserver.exe,tvnserver.exe,9023
tzsync.exe,conhost.exe,4
tzsync.exe,tzsync.exe,5
tzutil,tzutil,19
userinit.exe,explorer.exe,13
userinit.exe,userinit.exe,14
usoclient.exe,usoclient.exe,33
vc_redist.x86.exe,vc_redist.x86.exe,1
vc_redist_2015.x64.exe,vc_redist_2015.x64.exe,2
vc_redist_2015.x86.exe,vc_redist_2015.x86.exe,1
vcredist_2013_x64.exe,vcredist_2013_x64.exe,2
vcredist_2013_x86.exe,vcredist_2013_x86.exe,1
vcredist_x64.exe,vcredist_x64.exe,1
vcredist_x86.exe,vcredist_x86.exe,1
vssvc.exe,vssvc.exe,36
w32tm.exe,w32tm.exe,28
waasmedic.exe,c,20
waasmedic.exe,waasmedic.exe,28
werfault.exe,explorer.exe,2
werfault.exe,werfault.exe,128
werfault.exe,winword.exe,2
wermgr.exe,wermgr.exe,2775
whoami,whoami,817
whoami,whoami.exe,2
whoami.exe,whoami.exe,2
windows.warp.jitservice.exe,windows.warp.jitservice.exe,27
wininit.exe,csrss.exe,1
wininit.exe,fontdrvhost.exe,9
wininit.exe,lsass.exe,9
wininit.exe,services.exe,9
wininit.exe,werfault.exe,4
wininit.exe,wininit.exe,1
wininit.exe,winlogon.exe,1
winlogon.exe,dwm.exe,38
winlogon.exe,fontdrvhost.exe,38
winlogon.exe,logonui.exe,64
winlogon.exe,userinit.exe,30
winlogon.exe,winlogon.exe,32
winsat.exe,conhost.exe,4
winsat.exe,winsat.exe,4
winstore.app.exe,winstore.app.exe,4
winword.exe,firefox.exe,393
winword.exe,splwow64.exe,8
winword.exe,werfault.exe,1
winword.exe,winword.exe,669
wmiadap.exe,wmiadap.exe,12
wmiapsrv.exe,wmiapsrv.exe,4613
wmic,wmic,3
wmiprvse.exe,wmiprvse.exe,560
wordpad.exe,ctfmon.exe,1
wordpad.exe,wordpad.exe,454
wsqmcons.exe,wsqmcons.exe,117
wuapihost.exe,wuapihost.exe,136
